trade_number,position_type,open_time,duration,sma_short_value,sma_long_value,sma_signal,macd_value,macd_long_value,macd_signal,rsi_value,rsi_signal,wallet
10,open,2024-07-28 16:35:00,0,67824.57179999995,67726.11104999995,buy,-27.69413284122129,-36.803965645222696,buy,47.617532038107655,neutral,376.2692642122567
10,close,2024-07-29 00:05:00,0,68070.05200000001,67848.05260000001,buy,88.9136537641898,42.055582331057344,buy,78.951324431875,sell,384.7669670579131
11,open,2024-07-28 16:40:00,0,67818.69179999996,67726.77524999995,buy,-25.14042809464445,-34.47125813510705,buy,48.05638790709946,neutral,384.7669670579131
11,close,2024-07-29 00:05:00,0,68070.05200000001,67848.05260000001,buy,88.9136537641898,42.055582331057344,buy,78.951324431875,sell,393.39864718941107
12,open,2024-07-28 16:45:00,0,67811.21219999994,67727.74529999995,buy,-23.331794141122373,-32.24336533631011,buy,47.54570346262708,neutral,393.39864718941107
12,close,2024-07-29 00:05:00,0,68070.05200000001,67848.05260000001,buy,88.9136537641898,42.055582331057344,buy,78.951324431875,sell,402.2944856717997
13,open,2024-07-28 16:50:00,0,67803.82559999994,67728.22859999994,buy,-21.1176017941616,-30.01821262788041,buy,48.20367650645745,neutral,402.2944856717997
13,close,2024-07-29 00:05:00,0,68070.05200000001,67848.05260000001,buy,88.9136537641898,42.055582331057344,buy,78.951324431875,sell,411.31143810953716
14,open,2024-07-28 16:55:00,0,67796.94559999993,67728.22859999994,buy,-20.79027044774557,-28.17262419185344,buy,46.264935625493095,neutral,411.31143810953716
14,close,2024-07-29 00:05:00,0,68070.05200000001,67848.05260000001,buy,88.9136537641898,42.055582331057344,buy,78.951324431875,sell,420.7844228823415
15,open,2024-07-28 17:00:00,0,67791.98559999994,67728.65854999995,buy,-10.086061894879094,-24.55531173245857,buy,57.63393141438171,neutral,420.7844228823415
15,close,2024-07-29 00:15:00,0,68096.39700000003,67861.55840000002,buy,149.10274110952741,74.41403137412763,buy,76.40881885949896,sell,432.4011690401443
16,open,2024-07-28 17:05:00,0,67787.61079999995,67727.78484999995,buy,-3.7177382492373,-20.387797035814316,buy,55.01524497122039,neutral,432.4011690401443
16,close,2024-07-29 00:15:00,0,68096.39700000003,67861.55840000002,buy,149.10274110952741,74.41403137412763,buy,76.40881885949896,sell,444.684500452545
17,open,2024-07-28 17:10:00,0,67784.33079999994,67726.87489999995,buy,5.999868461716687,-15.110263936308115,buy,59.38129357063989,neutral,444.684500452545
17,close,2024-07-29 00:15:00,0,68096.39700000003,67861.55840000002,buy,149.10274110952741,74.41403137412763,buy,76.40881885949896,sell,456.5357601563424
18,open,2024-07-28 17:15:00,0,67782.14879999994,67725.90524999995,buy,13.943863822583808,-9.29943838452973,buy,59.739491611331076,neutral,456.5357601563424
18,close,2024-07-29 00:15:00,0,68096.39700000003,67861.55840000002,buy,149.10274110952741,74.41403137412763,buy,76.40881885949896,sell,468.63467939537134
19,open,2024-07-28 17:20:00,0,67777.18879999995,67724.90524999995,buy,13.068716440684511,-4.825807419486881,buy,51.26770637806164,neutral,468.63467939537134
19,close,2024-07-29 00:15:00,0,68096.39700000003,67861.55840000002,buy,149.10274110952741,74.41403137412763,buy,76.40881885949896,sell,482.2736216808322
20,open,2024-07-28 17:25:00,0,67774.13959999994,67724.77504999995,buy,15.581364885743824,-0.7443729584407395,buy,54.61093131238313,neutral,482.2736216808322
20,close,2024-07-29 00:15:00,0,68096.39700000003,67861.55840000002,buy,149.10274110952741,74.41403137412763,buy,76.40881885949896,sell,495.70388101019694
21,open,2024-07-28 17:30:00,0,67771.89939999995,67724.32504999996,buy,18.012968483599252,3.007095329967259,buy,55.24373259968712,neutral,495.70388101019694
21,close,2024-07-29 00:15:00,0,68096.39700000003,67861.55840000002,buy,149.10274110952741,74.41403137412763,buy,76.40881885949896,sell,509.38910368788555
22,open,2024-07-28 17:35:00,0,67770.65919999995,67723.96504999996,buy,25.93501724563248,7.592679713100303,buy,60.94024832813122,neutral,509.38910368788555
22,close,2024-07-29 00:20:00,0,68114.04960000001,67869.14150000003,buy,181.2183372262225,95.7748925445466,buy,77.23260637009676,sell,524.7611951277718
23,open,2024-07-28 17:40:00,0,67769.55959999995,67723.35014999995,buy,32.40699257492088,12.55554228546442,buy,61.416896579033384,neutral,524.7611951277718
23,close,2024-07-29 00:20:00,0,68114.04960000001,67869.14150000003,buy,181.2183372262225,95.7748925445466,buy,77.23260637009676,sell,540.4868651232207
24,open,2024-07-28 17:45:00,0,67769.71579999995,67722.21009999995,buy,36.228432020085165,17.290120232388567,buy,60.17610882632029,neutral,540.4868651232207
